detail_key,cp,chapter_count,likes,publish_date,view_count,is_end
r325,LingOrm,17,113,2024/8/13,38269,0
r326,NamneungNoey,11,38,2022/5/31,17000,1
r327,NamneungNoey,7,9,2022/5/31,4331,0
r328,NamtanFilm,36,233,2024/2/23,85986,1
r329,MilkLove,19,197,2022/6/2,43289,1
r330,FreenBecky,11,64,2022/6/5,12279,0
r331,EngLot,20,1298,2022/6/11,517337,1
r332,MilkLove,3,38,2022/6/4,3415,1
r334,NamneungNoey,2,13,2022/6/8,930,0
r335,EngLot,2,32,2022/6/8,8613,1
r336,MilkLove,13,80,2022/6/9,14340,1
r337,EngLot,1,6,2022/6/9,2724,1
r338,EngLot,20,1108,2022/6/9,468372,1
r339,FreenBecky,22,84,2022/6/11,29229,1
r340,EngLot,23,847,2022/6/19,317653,1
r341,NamneungNoey,2,3,2022/6/15,930,0
r342,EngLot,1,15,2022/6/18,1823,0
r343,EngLot,33,523,2022/6/19,307511,1
r344,FreenBecky,14,395,2022/9/3,87921,1
r345,FreenBecky,3,38,2022/6/23,7180,0
r346,LingOrm,2,2,2023/2/18,356,1
r347,EngLot,4,54,2022/6/25,16470,0
r348,MilkLove,3,22,2022/6/26,4273,0
r349,NamneungNoey,2,13,2022/6/30,1156,0
r350,EngLot,33,364,2022/6/28,140132,1
r351,LingOrm,1,2,2026/6/5,248,0
r352,EngLot,2,40,2022/7/4,5132,0
r353,NamneungNoey,4,11,2022/7/2,2326,0
r354,FreenBecky,13,67,2022/7/2,23822,1
r355,EngLot,35,461,2022/7/2,155775,1
r356,EngLot,12,1163,2022/7/2,406695,1
r357,EngLot,5,88,2022/7/2,22848,0
r358,FreenBecky,8,196,2023/2/12,32028,1
r359,FreenBecky,3,93,2022/7/7,13147,1
r360,NamneungNoey,5,6,2022/7/4,1340,0
r361,EngLot,22,659,2022/7/22,270348,1
r362,EngLot,15,32,2022/7/9,10983,1
r363,EngLot,3,11,2022/7/13,1481,0
r365,EngLot,21,441,2022/7/16,216207,1
r366,NamneungNoey,4,23,2022/7/31,3591,0
r367,EngLot,18,269,2022/7/17,90113,1
r368,EngLot,21,192,2022/7/17,85620,1
r369,EngLot,1,36,2023/1/14,3566,1
r370,NamneungNoey,2,31,2022/8/2,2164,0
r371,NamneungNoey,2,26,2022/8/2,1881,0
r372,EngLot,20,334,2022/7/22,173926,1
r373,JanJingjing,2,32,2026/7/24,2091,0
r374,EngLot,7,11,2022/7/23,2304,0
r375,EngLot,40,330,2022/7/26,199702,1
r376,FreenBecky,11,10,2022/7/27,1563,0
r377,EngLot,21,441,2022/7/28,182094,1
r378,EngLot,14,140,2022/7/29,42638,1
r380,EngLot,9,100,2022/7/29,43602,1
r381,EngLot,15,401,2022/9/18,98443,1
r382,EngLot,1,6,2022/8/1,1246,0
r383,LenaMiu,3,21,2026/6/28,2005,0
r384,EngLot,5,23,2022/8/2,6516,1
r385,FreenBecky,17,110,2023/2/10,19098,1
r386,EngLot,1,4,2022/8/5,303,0
r388,EngLot,3,26,2022/8/9,3869,0
r390,FreenBecky,2,28,2022/9/21,2335,0
r391,NamneungNoey,11,33,2022/9/5,7135,1
r392,EngLot,12,578,2022/8/15,83210,1
r393,NamneungNoey,14,67,2022/8/14,49660,1
r394,MilkLove,20,53,2022/8/14,11129,1
r395,NamneungNoey,8,7,2023/1/25,9200,1
r396,NamneungNoey,4,13,2022/8/16,6967,0
r397,EngLot,15,24,2022/9/17,13132,1
r398,EngLot,1,27,2022/8/20,6028,0
r399,EngLot,20,631,2022/9/1,259350,1
r400,EngLot,8,399,2022/8/18,121233,1
r401,EngLot,1,12,2022/8/18,2425,0
r402,EngLot,39,317,2022/8/19,121166,1
r403,EngLot,11,39,2022/8/22,9840,0
r404,EngLot,28,29,2022/9/28,15718,1
r405,EngLot,27,1634,2022/8/23,765793,1
r406,MilkLove,1,78,2023/6/23,4461,0
r407,LingOrm,27,3419,2024/7/17,1001375,1
r408,FreenBecky,6,23,2022/8/26,2993,0
r409,FreenBecky,10,18,2022/8/27,5702,1
r410,EngLot,15,51,2022/10/16,18595,0
r411,EngLot,14,704,2022/9/9,263983,1
r412,EngLot,12,713,2023/1/29,227866,1
r413,EngLot,16,883,2022/9/3,284928,1
r414,EngLot,17,549,2023/4/5,212814,1
r415,EngLot,7,130,2022/9/17,30838,1
r417,EngLot,5,88,2022/10/25,13947,0
r418,EngLot,12,34,2022/9/4,14407,0
r419,EngLot,2,119,2022/9/4,21748,1
r420,EngLot,2,15,2022/9/5,6344,0
r421,FreenBecky,42,98,2022/9/7,33315,0
r422,EngLot,27,77,2022/10/8,35286,1
r423,MilkLove,5,77,2022/9/10,5814,0
r424,EngLot,1,11,2023/5/16,3004,0
r425,MilkLove,15,500,2022/9/10,86536,1
r426,EngLot,25,82,2022/9/10,29604,0
r427,NamneungNoey,1,2,2022/9/12,1449,0
r428,EngLot,2,7,2022/9/11,930,0
r429,EngLot,46,286,2022/9/15,139673,1
r430,NamneungNoey,29,37,2022/9/20,21897,0
r431,EngLot,22,218,2022/9/15,103528,1
r432,EngLot,11,105,2024/3/10,30188,1
r433,MilkLove,2,4,2022/9/15,488,0
r434,MilkLove,3,53,2022/9/16,3804,0
r435,EmiBonnie,6,6,2025/9/22,439,0
r437,EngLot,15,101,2022/9/18,39628,1
r438,EngLot,4,14,2022/10/21,2061,0
r439,FreenBecky,4,67,2022/9/28,3618,0
r440,EngLot,2,9,2022/9/24,1710,0
r441,FreenBecky,2,73,2022/9/25,13329,1
r442,EngLot,10,246,2022/10/5,100588,1
r443,NamneungNoey,3,22,2022/9/26,2989,0
r444,FreenBecky,12,759,2022/9/26,145161,1
r445,EngLot,14,57,2022/9/27,25161,1
r446,NamneungNoey,19,54,2022/11/15,27297,1
r447,EngLot,5,307,2022/11/14,61999,1
r448,NamneungNoey,4,0,2022/10/5,530,0
r449,EngLot,5,69,2022/10/7,12554,1
r451,EngLot,18,253,2022/10/11,103728,1
r452,EngLot,22,173,2022/10/8,89756,1
r453,EngLot,1,12,2022/10/12,1423,0
r454,FreenBecky,1,5,2022/10/11,537,1
r455,EngLot,3,74,2022/10/13,19726,1
r456,EngLot,2,7,2024/6/26,2589,0
r457,EngLot,15,196,2022/10/15,52022,1
r458,EngLot,4,8,2022/10/30,1237,0
r459,EngLot,2,6,2022/10/18,1257,1
r460,FreenBecky,1,29,2022/10/19,5011,1
r461,FreenBecky,29,468,2022/10/21,151734,1
r462,EngLot,15,707,2022/10/21,292107,1
r463,EngLot,2,1,2022/10/21,483,0
r464,JanJingjing,4,4,2026/7/28,834,0
r465,EngLot,7,5,2022/10/23,1559,0
r466,EngLot,13,270,2022/10/24,83644,1
r467,EngLot,13,14,2022/12/26,5542,1
r468,EngLot,14,392,2022/12/26,152080,1
r469,EngLot,4,50,2022/10/24,6285,0
r470,LingOrm,5,6,2024/12/7,1002,0
r471,EngLot,2,17,2022/12/26,1180,0
r472,EngLot,4,21,2022/10/27,3672,0
r473,LingOrm,83,1827,2022/10/29,1018276,1
r474,NamneungNoey,3,1,2025/8/5,105,0
r475,EngLot,8,31,2022/10/31,6527,0
r476,NamneungNoey,1,0,2022/10/30,104,0
r477,NamneungNoey,1,0,2022/10/30,70,0
r478,EngLot,12,133,2022/10/30,62595,1
r479,EngLot,1,16,2022/10/30,2496,1
r480,NamneungNoey,1,0,2022/10/30,117,0
r481,NamneungNoey,1,0,2022/10/30,115,0
r482,FreenBecky,11,176,2022/11/5,24759,1
r483,EngLot,10,42,2022/10/31,7634,1
r484,EngLot,3,5,2022/11/5,2011,0
r485,EngLot,25,125,2022/11/9,70091,1
r486,EngLot,4,57,2022/12/2,11154,0
r487,EngLot,12,164,2022/10/31,69311,1
r488,EngLot,6,54,2022/11/7,21007,1
r489,EngLot,2,4,2022/11/4,991,0
r490,NamneungNoey,16,2,2023/4/13,4977,0
r491,EngLot,12,27,2022/11/6,11081,1
r492,FreenBecky,3,19,2022/11/27,1910,0
r493,EngLot,2,12,2022/11/6,2448,0
r494,EngLot,7,51,2023/8/29,17654,1
r495,EngLot,2,23,2022/11/8,3984,0
r497,EngLot,2,3,2022/11/10,186,0
r498,JanJingjing,1,36,2026/1/6,1335,0
r499,EngLot,13,58,2022/11/11,35635,1
r500,EngLot,13,333,2022/11/12,126453,1
r501,ViewJune,4,6,2024/7/23,809,0
r502,EngLot,2,14,2022/11/23,5253,1
r503,MilkLove,12,52,2022/11/15,11931,1
r504,EngLot,1,26,2022/11/21,5328,0
r505,EngLot,1,7,2022/11/17,1638,1
r506,NamneungNoey,33,30,2022/11/27,21489,0
r507,NamneungNoey,15,4,2023/7/2,6626,1
r508,EngLot,1,2,2022/11/18,771,1
r509,EngLot,16,79,2022/11/18,43133,1
r511,EngLot,7,28,2022/11/18,11961,0
r512,FreenBecky,6,126,2022/11/20,43889,1
r513,EngLot,12,672,2022/11/18,257317,1
r514,NamneungNoey,17,8,2023/1/6,3062,1
r515,EngLot,21,128,2022/11/20,64724,1
r516,EngLot,6,14,2022/11/20,4003,0
r517,EngLot,3,14,2022/11/23,3131,0
r519,FreenBecky,1,37,2022/11/26,5934,0
r520,EngLot,5,7,2022/11/27,2161,1
r521,LMSY,7,173,2024/10/11,17002,0
r522,EngLot,10,10,2022/11/28,4990,1
r523,EngLot,12,33,2022/11/28,15653,1
r524,EngLot,23,847,2023/2/5,418420,1
r525,FreenBecky,13,163,2022/11/30,45732,1
r526,FreenBecky,6,33,2023/6/5,3421,0
